"spelling","meaning","tags","例文・メモ"
"cua","カニ","自然,生き物",""
"gấu","熊","自然,生き物",""
"thỏ","ウサギ","自然,生き物",""
"hổ","トラ","自然,生き物",""
"rắn","ヘビ","自然,生き物",""
"khỉ","サル","自然,生き物",""
"voi","ゾウ","自然,生き物",""
"côn trùng","昆虫","自然,生き物",""
"cây cối","草木、植物","自然,生き物",""
"hoa hồng","バラ","自然,生き物",""
"hoa ly","ユリ","自然,生き物",""
"rừng","森","自然,生き物",""
"cánh đồng","田畑","自然,生き物",""
"đất","土、土地","自然,生き物",""
"đá","石","自然,生き物",""
"cát","砂","自然,生き物",""
"hồ","湖","自然,生き物",""
"đảo","島","自然,生き物",""
"bờ biển","海岸","自然,生き物",""
"đại dương","大洋","自然,生き物",""
"thiên nhiên","自然","自然,生き物",""
"môi trường","環境","自然,生き物",""
"thế giới","世界","自然,生き物",""
"thành phố","都市、市","場所",""
"thị trấn","町","場所",""
"làng","村","場所",""
"quận","区、郡","場所",""
"khu vực","地域、区域","場所",""
"địa điểm","場所、地点","場所",""
"nơi","場所","場所",""
"chỗ","場所","場所",""
"bên","側","場所",""
"phía","側、方向","場所",""
"bên phải","右側","場所",""
"bên trái","左側","場所",""
"phía trước","前方","場所",""
"phía sau","後ろ","場所",""
"bên trong","内側","場所",""
"bên ngoài","外側","場所",""
"đối diện","向かい側","場所",""
"xung quanh","周囲","場所",""
"cổng","門、入口","場所",""
"khách sạn","ホテル","場所",""
"bưu điện","郵便局","場所",""
"ngân hàng","銀行","場所",""
"công viên","公園","場所",""
"bảo tàng","博物館","場所",""
"rạp chiếu phim","映画館","場所",""
"thư viện","図書館","場所",""
"nhà thờ","教会","場所",""
"nhà ga","駅","場所",""
"quán cà phê","カフェ","場所",""
"phố cổ","旧市街","場所",""
"tạo","作る、創造する","動詞",""
"tạo thành","作り上げる","動詞",""
"xây dựng","建設する","動詞",""
"mở","開ける、開く","動詞",""
"đóng","閉める、閉じる","動詞",""
"đóng cửa","店を閉める、閉店する","動詞",""
"dừng","止まる","動詞",""
"dừng lại","止まる、停止する","動詞",""
"tiếp tục","続ける","動詞",""
"giữ","保つ、持つ","動詞",""
"bỏ","やめる、捨てる","動詞",""
"đem","持ってくる、持っていく","動詞",""
"cầm","持つ、つかむ","動詞",""
"giữ lại","取っておく","動詞",""
"quyết định","決める","動詞",""
"nhận","受け取る、認める","動詞",""
"gửi","送る","動詞",""
"nhận được","受け取る、得る","動詞",""
"hẹn","約束する、予約する","動詞",""
"chờ","待つ","動詞",""
"đợi","待つ","動詞",""
"đón","迎える","動詞",""
"tiễn","見送る","動詞",""
"về nhà","家に帰る","フレーズ",""
"đi học","学校へ行く","フレーズ",""
"đi làm","仕事へ行く","フレーズ",""
"đi chơi","遊びに行く","フレーズ",""
"đi mua sắm","買い物に行く","フレーズ",""
"đi ăn","食事に行く","フレーズ",""
"đi uống cà phê","コーヒーを飲みに行く","フレーズ",""
"đi du lịch","旅行に行く","フレーズ",""
"đi xe","乗り物で行く","フレーズ",""
"về quê","帰省する","フレーズ",""
"đi bệnh viện","病院へ行く","フレーズ",""
"tắm","シャワーを浴びる","フレーズ",""
"tắm gội","入浴・洗髪する","フレーズ",""
"đánh răng","歯を磨く","フレーズ",""
"rửa mặt","顔を洗う","フレーズ",""
"gội đầu","髪を洗う","フレーズ",""
"mặc quần áo","服を着る","フレーズ",""
"cởi quần áo","服を脱ぐ","フレーズ",""
"mua vé","切符を買う","フレーズ",""
"đặt phòng","部屋を予約する","フレーズ",""
"đặt bàn","席を予約する","フレーズ",""
"gọi điện","電話する","フレーズ",""
"nhắn tin","メッセージを送る","フレーズ",""
"chụp ảnh","写真を撮る","フレーズ",""
"nghe nhạc","音楽を聴く","フレーズ",""
"báo","新聞","メディア",""
"tạp chí","雑誌","メディア",""
"thư","手紙","メディア",""
"ảnh","写真","メディア",""
"hình ảnh","画像、写真","メディア",""
"video","動画","メディア",""
"phim","映画","メディア",""
"nhạc","音楽","メディア",""
"bài hát","歌","メディア",""
"truyện","物語","メディア",""
"truyện tranh","漫画","メディア",""
"câu chuyện","話、物語","メディア",""
"tin tức","ニュース","メディア",""
"tin nhắn","メッセージ","メディア",""
"mạng","ネットワーク、インターネット","メディア",""
"internet","インターネット","メディア",""
"wifi","Wi-Fi","メディア",""
"mật khẩu","パスワード","メディア",""
"màn hình","画面","メディア",""
"bàn phím","キーボード","メディア",""
"chuột","マウス","メディア",""
"máy in","プリンター","メディア",""
"máy ảnh","カメラ","メディア",""
"tai nghe","イヤホン、ヘッドホン","メディア",""
"loa","スピーカー","メディア",""
"ứng dụng","アプリ、アプリケーション","メディア",""
"tài khoản","アカウント","メディア",""
"trang web","ウェブサイト","メディア",""
"địa chỉ email","メールアドレス","メディア",""
"tin","知らせ、ニュース","メディア",""
"tải","ダウンロードする、積む","メディア",""
"xóa","削除する","メディア",""
"thị thực","ビザ","旅行,サービス",""
"phòng đơn","シングルルーム","旅行,サービス",""
"phòng đôi","ツイン・ダブルルーム","旅行,サービス",""
"nhận phòng","チェックインする","旅行,サービス",""
"trả phòng","チェックアウトする","旅行,サービス",""
"lễ tân","受付、フロント","旅行,サービス",""
"nhà khách","ゲストハウス","旅行,サービス",""
"tầng","階","旅行,サービス",""
"tầng một","1階","旅行,サービス",""
"cửa ra","出口","旅行,サービス",""
"cửa vào","入口","旅行,サービス",""
"nhà tắm","浴室","旅行,サービス",""
"bãi đỗ xe","駐車場","旅行,サービス",""
"bãi biển","ビーチ","旅行,サービス",""
"trung tâm","中心、センター","旅行,サービス",""
"trung tâm thành phố","市中心部","旅行,サービス",""
"hướng","方向","旅行,サービス",""
"phương hướng","方向","旅行,サービス",""
"đi đâu","どこへ行く","旅行,サービス",""
"đi bằng gì","何で行く","旅行,サービス",""
"mất bao lâu","どのくらいかかる","旅行,サービス",""
"bao xa","どのくらい遠い","旅行,サービス",""
"giúp tôi","私を助けてください","旅行,サービス",""
"cho tôi hỏi","ちょっとお尋ねします","旅行,サービス",""
"ở đâu vậy","どこですか","旅行,サービス",""
"có gần đây không","この近くですか","旅行,サービス",""
"rất nhiều","とても多い","フレーズ",""
"rất ít","とても少ない","フレーズ",""
"nhiều hơn","より多い","フレーズ",""
"ít hơn","より少ない","フレーズ",""
"tốt hơn","より良い","フレーズ",""
"tốt nhất","最も良い","フレーズ",""
"lớn hơn","より大きい","フレーズ",""
"nhỏ hơn","より小さい","フレーズ",""
"nhanh hơn","より速い","フレーズ",""
"chậm hơn","より遅い","フレーズ",""
"đúng rồi","その通りです","フレーズ",""
"đúng không","〜ですよね？","フレーズ",""
"được rồi","わかりました、いいです","フレーズ",""
"không được","だめ、できない","フレーズ",""
"không cần","必要ない","フレーズ",""
"không biết","知らない、わからない","フレーズ",""
"không hiểu","わからない","フレーズ",""
"không muốn","したくない","フレーズ",""
"không thích","好きではない","フレーズ",""
"có rồi","もうある、もうした","フレーズ",""
"chưa có","まだない","フレーズ",""
"chưa biết","まだ知らない","フレーズ",""
"chưa hiểu","まだ理解していない","フレーズ",""
"đã có","すでにある","フレーズ",""
"đã xong","もう終わった","フレーズ",""
"đang làm","今している","フレーズ",""
"sẽ làm","これからする","フレーズ",""
"muốn làm","したい","フレーズ",""
"có thể làm","することができる","フレーズ",""
"phải làm","しなければならない","フレーズ",""
"nên làm","したほうがよい","フレーズ",""
"đừng làm","しないで","フレーズ",""
"hãy làm","してください、しよう","フレーズ",""
"làm sao","どうする、どうやって","フレーズ",""
"vì sao","なぜ","フレーズ",""
"cái gì","何","フレーズ",""
"cái nào","どれ","フレーズ",""
"người nào","誰、どの人","フレーズ",""
"cần phải","〜する必要がある","会話,抽象語",""
"có vẻ","〜のようだ","会話,抽象語",""
"hình như","どうやら、〜のようだ","会話,抽象語",""
"thật sự","本当に","会話,抽象語",""
"thực sự","実際に、本当に","会話,抽象語",""
"chắc chắn","確かに、きっと","会話,抽象語",""
"có lẽ","たぶん","会話,抽象語",""
"tất nhiên","もちろん","会話,抽象語",""
"đặc biệt","特別な","会話,抽象語",""
"bình thường","普通の、普段通り","会話,抽象語",""
"cơ bản","基本的な","会話,抽象語",""
"hiện đại","現代的な","会話,抽象語",""
"thật tốt","本当に良い","会話,抽象語",""
"rất vui","とても嬉しい","会話,抽象語",""
"rất tiếc","とても残念です","会話,抽象語",""
"xin phép","失礼します、許可を求める","会話,抽象語",""
"làm ơn","お願いします","会話,抽象語",""
"cảm ơn bạn","ありがとう","会話,抽象語",""
"hẹn gặp lại","また会いましょう","会話,抽象語",""
"chúc ngủ ngon","おやすみなさい","会話,抽象語",""
"chúc may mắn","幸運を祈ります","会話,抽象語",""
"chúc mừng","おめでとう","会話,抽象語",""
"sinh nhật","誕生日","会話,抽象語",""
"quà","プレゼント","会話,抽象語",""
"lễ hội","祭り、フェスティバル","会話,抽象語",""
"tết","テト（ベトナムの旧正月）","会話,抽象語",""
"đám cưới","結婚式","会話,抽象語",""
"đám tang","葬式","会話,抽象語",""
"bữa tiệc","パーティー、宴会","会話,抽象語",""
"cuộc sống","生活、人生","会話,抽象語",""
"cuộc đời","人生、生涯","会話,抽象語",""
"thói quen","習慣","会話,抽象語",""
"sở thích","趣味","会話,抽象語",""
"ước mơ","夢、願い","会話,抽象語",""
"mục tiêu","目標","会話,抽象語",""
"lý do","理由","会話,抽象語",""
"vấn đề","問題","会話,抽象語",""
"ý kiến","意見","会話,抽象語",""
"ý tưởng","アイデア","会話,抽象語",""
"kết quả","結果","会話,抽象語",""
"cơ hội","機会","会話,抽象語",""
"thành công","成功","会話,抽象語",""
"thất bại","失敗","会話,抽象語",""
"lựa chọn","選択","会話,抽象語",""
"cách","方法、やり方","会話,抽象語",""
"đầu tiên","最初、第一","頻度,時間",""
"cuối cùng","最後、ついに","頻度,時間",""
"tiếp theo","次に、次の","頻度,時間",""
"cùng nhau","一緒に","頻度,時間",""
"mỗi ngày","毎日","頻度,時間",""
"mỗi tuần","毎週","頻度,時間",""
"mỗi tháng","毎月","頻度,時間",""
"mỗi năm","毎年","頻度,時間",""
"hàng ngày","毎日、日々","頻度,時間",""
"hàng tuần","毎週","頻度,時間",""
"hàng tháng","毎月","頻度,時間",""
"hàng năm","毎年","頻度,時間",""
